speciescode,speciename
dwabit1,Botaurus sturmii
masowl2,Otus mantananensis
whnpuf2,Notharchus hyperrhynchus
afrpyg1,Nettapus auritus
golher1,Ardea goliath
whtpla1,Phytotoma rutila
madcou1,Centropus toulou
pinpig3,Treron vernans
souwpw1,Antrostomus arizonae
nyaswi1,Apus niansae
brnhao1,Ninox scutulata
scaqua,Callipepla squamata
ruhtai2,Phyllergates heterolaemus
giabab1,Pterorhinus waddelli
pacpar2,Forpus coelestis
bctspi1,Leptasthenura fuliginiceps
rattre2,Temnurus temnurus
whtwhe1,Oenanthe leucopyga
rebnut,Sitta canadensis
chaant5,Grallaria gravesi
stbwhy1,Vidua hypocherina
pacrob2,Petroica multicolor
blcfin1,Lophospingus pusillus
reurai1,Dryolimnas augusti
amgplo,Pluvialis dominica
pluibi1,Theristicus caerulescens
wairai1,Gallirallus wakensis
pltwar1,Phylloscopus soror
barbro1,Cymbirhynchus macrorhynchos
noifri1,Philemon corniculatus
shghum1,Chrysuronia goudoti
viewea2,Ploceus castaneofuscus
robpoc1,Netta peposaca
mawbab1,Turdinus marmoratus
whcbul1,Pyrrhula leucogenis
pilotb1,Pycnoptilus floccosus
comcic20,Edolisoma obiense
brcfly4,Myiophobus crypterythrus
papfly1,Myiagra nana
ltbwar1,Locustella caudata
falstd1,Tachyeres brachypterus
slbgul1,Chroicocephalus genei
whqbus1,Afrotis afraoides
bltant2,Myrmophylax atrothorax
kospar1,Pteridophora alberti
satori1,Oriolus crassirostris
crcspi1,Cranioleuca albicapilla
cvswar1,Acrocephalus brevipennis
roypar1,Erythrura cyaneovirens
kullew1,Phylloscopus amoenus
afphor3,Lophoceros fasciatus
lotnig1,Caprimulgus climacurus
whbneg2,Nigrita fusconotus
yebrat1,Prioniturus flavicans
rocbun1,Emberiza cia
blbpuf2,Dryoscopus cubla
chcswa2,Petrochelidon rufocollaris
blbflo4,Dicaeum hanieli
whtsic1,Eutoxeres aquila
bearee1,Panurus biarmicus
gureag1,Aquila gurneyi
blmfin1,Coryphaspiza melanotis
cregua1,Penelope purpurascens
whcpig1,Columba albitorques
desspa1,Passer moabiticus
bltcuc1,Cercococcyx montanus
amaui,Myadestes woahensis
whhduc1,Oxyura leucocephala
phitro1,Harpactes ardens
nebhea1,Gallicolumba keayi
hofwoo2,Dendrocolaptes hoffmannsi
cinmou1,Laniocera hypopyrra
speflo1,Dicaeum dayakorum
obnthr1,Catharus aurantiirostris
eurtre1,Certhia familiaris
goupet1,Pterodroma leucoptera
herwar,Setophaga occidentalis
afrjac1,Actophilornis africanus
laukoo1,Dacelo novaeguineae
sbtman1,Neopelma sulphureiventer
srlbao1,Phodilus assimilis
chhflu1,Sarothrura lugens
blkoys,Haematopus bachmani
swifra2,Pternistis swierstrai
spofor1,Enicurus maculatus
satspi1,Zoonavena thomensis
brespa,Spizella breweri
gurpit1,Hydrornis gurneyi
obfgle2,Anabacerthia lichtensteini
yebsto1,Mycteria ibis
trepip,Anthus trivialis
rosgoo,Anser rossii
blcwar1,Basileuterus melanogenys
flabul1,Pycnonotus flavescens
eugori2,Oriolus oriolus
mosbou4,Laniarius holomelas
resfly1,Myiagra inquieta
whcalb1,Thalassarche cauta
kurthr1,Turdus libonyana
thshem1,Microspingus trifasciatus
gilhum1,Hylocharis chrysura
mouswi2,Aerodramus hirundinaceus
bugnod,Anous ceruleus
ictwar1,Hippolais icterina
pibros2,Carpodacus rodochroa
mabwea1,Ploceus albinucha
raipit1,Pitta iris
javfro3,Batrachostomus javensis
blaant1,Thamnophilus nigriceps
rcsbab1,Erythrogenys erythrogenys
viewax1,Granatina granatina
whnlau1,Garrulax strepitans
taceup1,Euphonia anneae
leswoo4,Xiphorhynchus atlanticus
mulpar1,Psephotellus varius
chtjuf2,Cyornis ruficauda
chispa,Spizella passerina
focbus2,Telophorus viridis
gryjay,Perisoreus canadensis
bocsun2,Nectarinia bocagii
tarhor1,Penelopides panini
mouwhe4,Oenanthe lugubris
timfri1,Philemon inornatus
misrob1,Tychaedon barbata
recflo2,Dicaeum maugei
bcswea1,Pseudonigrita cabanisi
manfan2,Rhipidura semirubra
bufpar1,Touit dilectissimus
madmun1,Lepidopygia nana
grcbri1,Heliodoxa jacula
dwahon2,Oedistoma iliolophus
minhor1,Penelopides affinis
bucmot4,Momotus momota
whtnut1,Sitta himalayensis
guigna3,Polioptila guianensis
plaxen4,Xenops minutus
bcbfin1,Atlapetes seebohmi
whtque1,Pharomachrus fulgidus
comwoo1,Tephrodornis pondicerianus
blylew1,Phylloscopus reguloides
taiyuh1,Yuhina brunneiceps
bhsfin1,Phrygilus atriceps
sacibi2,Threskiornis aethiopicus
maspar2,Prosopeia personata
ruepar1,Poicephalus rueppellii
runlar7,Corypha nigrescens
plamar3,Riparia cowani
codpet1,Pelecanoides urinatrix
stosto1,Ciconia stormi
payfin1,Sicalis lebruni
lbbwar1,Locustella major
banqua1,Philortyx fasciatus
asikoe2,Eudynamys scolopaceus
masant1,Hylopezus auricularis
blfrob1,Cinclidium frontale
bltsal1,Saltatricula atricollis
bswdov1,Turtur afer
whcyuh1,Parayuhina diademata
whbkin1,Corythornis leucogaster
motduc,Anas fulvigula
strbri1,Merulaxis stresemanni
gyctyr2,Serpophaga griseicapilla
trosee1,Sporophila beltoni
fisfly1,Sigelus silens
beweye1,Zosterops superciliosus
hilmyn,Gracula religiosa
gycyel,Geothlypis poliocephala
blaman1,Xenopipo atronitens
ncipig1,Ducula goliath
bubbut1,Turnix olivii
blwpar3,Neophema chrysostoma
crfpar,Psittacara finschi
bltrol1,Eurystomus gularis
whbbul2,Pycnonotus luteolus
kalphe,Lophura leucomelanos
abyrol2,Coracias abyssinicus
sttbul2,Pycnonotus davisoni
bubcor1,Uraeginthus angolensis
mohbul1,Hypsipetes moheliensis
whbthr4,Ramphocinclus sanctaeluciae
bcmtan2,Anisognathus notabilis
whbthr3,Ramphocinclus brachyurus
insowl1,Otus bakkamoena
minmib1,Micromacronus sordidus
afrbro1,Smithornis capensis
piegos1,Tachyspiza albogularis
gryvir,Vireo vicinior
scthon1,Indicator variegatus
whtant1,Oneillornis salvini
uplpip1,Anthus sylvanus
spwgro1,Mycerobas melanozanthos
rencra1,Rallina tricolor
horpar2,Eunymphicus cornutus
reebul1,Pycnonotus brunneus
parswi1,Chaetura egregia
chnfor1,Enicurus ruficapillus
sulnig1,Caprimulgus celebensis
colowl3,Taenioptynx sylvaticus
yelbul1,Hypsipetes everetti
ameoys,Haematopus palliatus
egyvul1,Neophron percnopterus
gyslau,Pterorhinus caerulatus
whckoe1,Caliechthrus leucolophus
ruccra1,Rufirallus viridis
elepit2,Pitta concinna
pepcis1,Cisticola brunnescens
weiwoo1,Melanerpes superciliaris
colpet1,Pterodroma brevipes
strear1,Geocerthia serrana
olifin1,Arremon castaneiceps
crespi1,Cranioleuca subcristata
grnimp5,Ducula oenothorax
garpit1,Erythropitta granatina
integr2,Ardea plumifera
dawmin1,Geositta saxicolina
sqtnig1,Caprimulgus fossii
ranwar1,Randia pseudozosterops
chafly3,Guyramemua affine
mouble1,Zosterops emiliae
lesgre1,Pachysylvia decurtata
stream2,Trochilus polytmus
malhac1,Hierococcyx fugax
purher1,Ardea purpurea
afgowl1,Tyto capensis
pygnig1,Nyctipolus hirundinaceus
chttan1,Nemosia rourei
bugrob1,Melanodryas cyanus
bkfibi2,Theristicus branickii
fatrav1,Corvus rhipidurus
grbcou2,Centropus chlororhynchos
boltyr1,Zimmerius bolivianus
gryant1,Myrmotherula menetriesii
cbgcuc1,Carpococcyx renauldi
ausgan1,Morus serrator
booeag1,Hieraaetus pennatus
ocepoo1,Nyctiphrynus ocellatus
litspa1,Tachyspiza minulla
kanwax1,Estrilda kandti
afrhob1,Falco cuvierii
pluant1,Myrmelastes hyperythrus
cayjay1,Cyanocorax cayanus
whttit2,Tityra leucura
helwoo1,Celeus galeatus
bhmfin1,Leucosticte brandti
grnsan,Tringa ochropus
blwpit1,Pitta moluccensis
conmoo1,Myrmecocichla tholloni
ebomyz1,Myzomela pammelaena
strwoo2,Xiphorhynchus obsoletus
lanfal1,Falco biarmicus
blcswa1,Atticora pileata
sooter1,Onychoprion fuscatus
silphe,Lophura nycthemera
rensti,Calidris ruficollis
olsfly,Contopus cooperi
melcus3,Coracina welchmani
sootit1,Aegithalos fuliginosus
comgal1,Gallinula galeata
ribant1,Cercomacra carbonaria
barswa1,Hirundo nigrorufa
blfdac1,Dacnis lineata
rusflo1,Diglossa sittoides
tumspa1,Rhynchospiza stolzmanni
dovpri1,Pachyptila desolata
impwoo1,Campephilus imperialis
vitwar1,Setophaga vitellina
uniwoo1,Hylexetastes uniformis
dindor2,Pseudocolopteryx dinelliana
whikit1,Haliastur sphenurus
strgra2,Amytornis striatus
blbbar1,Pogonornis minor
hoomoc1,Mimus macdonaldi
chbmun1,Lonchura castaneothorax
calqua,Callipepla californica
whshon1,Trichodere cockerelli
blacar1,Daptrius ater
strant3,Chamaeza nobilis
blulor1,Vini peruviana
vitsta1,Coeligena violifer
rbctyr1,Ochthoeca rufipectoralis
pabtin1,Crypturellus transfasciatus
panvul1,Gypohierax angolensis
yebflo2,Prionochilus maculatus
brbwhi1,Pachycephala modesta
mexshe1,Doricha eliza
oradov1,Ptilinopus victor
stbwre2,Campylorhynchus nuchalis
abetow,Melozone aberti
slbrai1,Lewinia striata
ausmag2,Gymnorhina tibicen
gywtru1,Psophia crepitans
wooshr1,Lanius senator
wilwag1,Rhipidura leucophrys
bluqua1,Synoicus adansonii
suldwk1,Ceyx sangirensis
lotkoe1,Urodynamis taitensis
yecwoo1,Leiopicus mahrattensis
duweye1,Zosterops finschii
garkin1,Chloroceryle inda
demwir1,Sylviorthorhynchus desmursii
mousaw1,Psalidoprocne fuliginosa
pubsun1,Aglaeactis aliciae
yetfin1,Atlapetes tibialis
kitmur,Brachyramphus brevirostris
ftspet,Hydrobates furcatus
whttow1,Melozone albicollis
rebtyr2,Zimmerius cinereicapilla
blbgul1,Chroicocephalus bulleri
whccoq1,Lophornis adorabilis
dabspi1,Synallaxis albigularis
gobrob1,Tarsiger chrysaeus
temlar1,Eremophila bilopha
sulwoo1,Scolopax celebensis
linwoo3,Lepidocolaptes albolineatus
matfly1,Todirostrum viridanum
whtfly2,Leucoptilon concretum
retlor1,Vini amabilis
biipig1,Ducula melanochroa
merlin,Falco columbarius
cinwax1,Glaucestrilda thomensis
shttyr1,Culicivora caudacuta
camind1,Vidua camerunensis
pycpet1,Pterodroma pycrofti
crcgro,Periporphyrus celaeno
scoori,Icterus parisorum
embpuf1,Eriocnemis aline
puchum1,Polyerata rosenbergi
orbowl1,Phodilus badius
cbqthr1,Cinclosoma castaneothorax
crpowl,Glaucidium costaricanum
glbgro1,Cyanoloxia glaucocaerulea
schflo1,Dicaeum trochileum
forwoo1,Rhinopomastus castaneiceps
rucbee1,Merops americanus
gyhalb,Thalassarche chrysostoma
macbus1,Chlamydotis macqueenii
stbtre1,Thripadectes rufobrunneus
lotshr1,Lanius schach
norjac,Jacana spinosa
alaant1,Myrmotherula snowi
reboxp1,Buphagus erythroryncha
blbbar2,Psilopogon javensis
guahon1,Guadalcanaria inexpectata
yermar1,Pseudoleistes guirahuro
stopar1,Ptilopachus petrosus
scgdov1,Pampusana sanctaecrucis
brseag1,Circaetus cinereus
rotmyz1,Myzomela chermesina
olifly1,Fraseria olivascens
thswar2,Basileuterus punctipectus
bfgbir1,Crinifer personatus
wenher1,Oroanassa magnifica
yetori1,Icterus mesomelas
orbsun2,Anthobaphes violacea
soiwhe2,Zosterops kulambangrae
honeme1,Amazilia luciae
multan1,Chlorochrysa nitidissima
rufwre1,Cinnycerthia unirufa
manvir1,Vireo pallens
nupkin1,Tanysiptera carolinae
yetwhi6,Pachycephala sharpei
trbhor1,Tockus ruahae
ruclau3,Garrulax castanotis
dusger1,Gerygone tenebrosa
blaant2,Cercomacroides serva
grebro1,Calyptomena viridis
vissha1,Copsychus superciliaris
golpip1,Tmetothylacus tenellus
rwgcuc1,Neomorphus rufipennis
eaywag1,Motacilla flava
spadro1,Dicrurus bracteatus
fijpar1,Erythrura pealii
bokmak1,Telophorus zeylonus
hansun1,Aethopyga bella
blrman1,Lepidothrix isidorei
hemwea1,Ploceus heuglini
whnrav1,Corvus albicollis
renfra1,Pternistis afer
descha1,Ashbyia lovensis
wibwre1,Microcerculus bambla
yevwar1,Phylloscopus cantator
raipar1,Cyanoramphus ulietanus
spiwoo1,Xiphorhynchus spixii
rasowl1,Otus brookii
jgtwhe1,Heleia javanica
mao1,Gymnomyza samoensis
chbgua1,Penelope ochrogaster
asspet,Hydrobates homochroa
sictit1,Poecile weigoldicus
viltap1,Scytalopus urubambae
swathr,Catharus ustulatus
whwblt1,Knipolegus aterrimus
grskiw1,Apteryx maxima
scabab2,Turdoides squamulata
hutshe1,Puffinus huttoni
daedov3,Phapitreron cinereiceps
lesnod1,Anous tenuirostris
bkttre1,Climacteris melanurus
gredov1,Leptotila wellsi
gyhrob2,Heteromyias cinereifrons
horbab2,Malacocincla sepiaria
rucwar4,Basileuterus delattrii
giapit1,Hydrornis caeruleus
tibbla1,Turdus maximus
bbctyr1,Ochthoeca fumicolor
vimwea1,Ploceus vitellinus
shasta2,Pholia sharpii
subfly1,Cyornis omissus
greyel1,Chrysophlegma flavinucha
gonwea1,Ploceus aureonucha
kbfdov1,Ptilinopus insolitus
yucnig1,Antrostomus badius
yetpip1,Anthus crenatus
tanscr1,Megapodius tenimberensis
pucfai2,Malurus coronatus
chbqut1,Cinclosoma marginatum
blteme1,Chlorostilbon mellisugus
putsun1,Heliangelus viola
whcsta3,Lamprotornis albicapillus
hibfly1,Cyornis whitei
strkin1,Halcyon chelicuti
macfrd2,Ptilinopus mangoliensis
yaglor2,Trichoglossus meyeri
rufspi1,Synallaxis unirufa
sielau1,Trochalopteron melanostigma
carsun2,Chalcomitra fuliginosa
whtnig3,Eurostopodus mystacalis
mcfdov1,Ptilinopus perousii
dwakoe1,Microdynamis parva
monnig1,Caprimulgus poliocephalus
baseag1,Circaetus cinerascens
blujeb2,Ptilorrhoa geislerorum
stlpar1,Amazona versicolor
grefri,Fregata minor
rucwar1,Myiothlypis coronata
brodip1,Cinclus pallasii
sulkin1,Ceyx fallax
whbpic3,Sasia ochracea
evegro,Coccothraustes vespertinus
baitro1,Trogon bairdii
olibus1,Chlorophoneus olivaceus
gtmgem1,Lampornis viridipallens
aukpar1,Alisterus scapularis
tobcat2,Scenopoeetes dentirostris
yechel1,Prionops alberti
pieavo1,Recurvirostra avosetta
pigdov1,Columbina picui
bewwre,Thryomanes bewickii
casfin1,Rhopospina carbonaria
marimp1,Ducula galeata
rarsta1,Aplonis cinerascens
relpar1,Alectoris rufa
banswa,Riparia riparia
dwacuc1,Coccycua pumila
speeid,Somateria fischeri
savpuf1,Eriocnemis luciani
imewaa1,Hypocnemis flavescens
chebul1,Hemixos castanonotus
rubwre1,Pheugopedius rutilus
chithr2,Turdus mupinensis
blrpit1,Hydrornis soror
olrcin1,Cinclodes olrogi
cryfof1,Micrastur mintoni
reswoo1,Dryobates affinis
mosfin1,Rhopospina fruticeti
rucmot1,Momotus mexicanus
eclpar2,Eclectus cornelia
yetwhi1,Pachycephala macrorhyncha
whclau1,Pterorhinus vassali
yersis1,Spinus uropygialis
amekes,Falco sparverius
watkne1,Burhinus vermiculatus
rubfly2,Leptopogon rufipectus
cacwre,Campylorhynchus brunneicapillus
whtgre1,Phyllastrephus albigularis
omaowl1,Strix butleri
shclar1,Certhilauda chuana
shoebi1,Balaeniceps rex
blbwea1,Ploceus melanogaster
souboo5,Ninox fusca
rbwqua1,Odontophorus speciosus
turdac1,Dacnis hartlaubi
whcthr1,Turdus aurantius
apbsun2,Cinnyris buettikoferi
tactap1,Scytalopus panamensis
soater1,Sterna hirundinacea
caugro1,Lyrurus mlokosiewiczi
urityr1,Phyllomyias urichi
jufpet,Pterodroma externa
gagtan1,Poecilostreptus palmeri
slabar1,Gymnobucco sladeni
pabqua1,Perdicula erythrorhyncha
herthr,Catharus guttatus
houwre,Troglodytes aedon
srlswa1,Cecropis hyperythra
hilpar1,Arborophila torqueola
yehcar1,Daptrius chimachima
gygfrd2,Ptilinopus chrysogaster
siafir1,Lophura diardi
satant1,Thamnomanes saturninus
mawthr1,Myophonus horsfieldii
caccan1,Pseudasthenes cactorum
oliela1,Elaenia mesoleuca
bahswa,Tachycineta cyaneoviridis
biawhi1,Pachycephala melanorhyncha
golphe,Chrysolophus pictus
guadwk1,Ceyx nigromaxilla
whcsee1,Sporophila morelleti
bkbsun1,Cinnyris nectarinioides
sthant1,Drymophila striaticeps
auonig1,Aegotheles cristatus
paiman1,Machaeropterus eckelberryi
micscr1,Megapodius laperouse
tibbab1,Pterorhinus koslowi
whcsee2,Sporophila torqueola
simgre1,Chlorocichla simplex
barcud1,Macropygia modiglianii
eunhon1,Bolemoreus hindwoodi
whtfan1,Rhipidura albicollis
whbwhi2,Pachycephala lanioides
thrbab1,Illadopsis turdina
palmch1,Dulus dominicus
plover3,Stephanoxis lalandi
chicis1,Cisticola pipiens
ruvnil1,Niltava sumatrana
gartro1,Trogon caligatus
spotan1,Ixothraupis punctata
unithr1,Turdus haplochrous
varbun,Passerina versicolor
foxkes1,Falco alopex
brbfai1,Chenorhamphus grayi
ruhtan1,Hemithraupis ruficapilla
burpar,Cyanoliseus patagonus
lessht1,Agriornis murinus
fatmon1,Pomarea whitneyi
auspra1,Glareola isabella
gyhwhe1,Heleia pinaiae
bervan1,Oriolia bernieri
prewea1,Ploceus preussi
leatan1,Stilpnia cucullata
bocwea1,Ploceus temporalis
olifly3,Kempiella flavovirescens
litshr2,Colluricincla rufogaster
mahhaw1,Polyboroides radiatus
oracha1,Epthianura aurifrons
yebloo,Gavia adamsii
shadro2,Dicrurus sharpei
pugsta1,Lamprotornis purpureus
yemser1,Crithagra menachensis
yebbou1,Laniarius atroflavus
bkbbit1,Botaurus dubius
bropri1,Prinia polychroa
manfin1,Camarhynchus heliobates
surfbi,Calidris virgata
stiwoo1,Dendropicos stierlingi
rurfog1,Neophilydor erythrocercum
pohfan1,Rhipidura kubaryi
blcpar2,Amazona dufresniana
jerlea1,Chloropsis jerdoni
nazboo1,Sula granti
colgro1,Mycerobas affinis
cicspa1,Platyrinchus saturatus
sibbro2,Serilophus rubropygius
bltwhi1,Pachycephala melanura
cuzbrf1,Atlapetes canigenis
andfla2,Phoenicoparrus andinus
cehpar1,Loriculus beryllinus
brnpar1,Poicephalus fuscicollis
whvwhi1,Pachycephala homeyeri
integr1,Ardea intermedia
neccus1,Edolisoma anale
rampig1,Columba arquatrix
whfdov2,Ptilinopus eugeniae
thbmur,Uria lomvia
rubpep1,Cyclarhis gujanensis
shtibi1,Cercibis oxycerca
puyfin1,Sicalis lutea
rehque1,Quelea erythrops
strcra1,Aenigmatolimnas marginalis
styowl1,Asio stygius
riwfin1,Microspingus torquatus
yetfly2,Conopias parvus
welswa1,Hirundo neoxena
whbsho1,Sholicola major
yetser1,Crithagra flavigula
lsspet,Hydrobates microsoma
btbsun2,Cyanomitra cyanolaema
bisfan1,Rhipidura dahli
gunhaw1,Astur gundlachi
pogdov1,Pampusana erythroptera
abbwar1,Horornis flavolivaceus
amered,Setophaga ruticilla
boubat1,Batis margaritae
chbeup1,Euphonia pectoralis
blcwoo4,Celeus flavescens
nicsee1,Spilornis klossi
stavir1,Vireo caribaeus
grflan1,Doryfera ludovicae
wilsap,Sphyrapicus thyroideus
gocwoo3,Chloropicus xantholophus
grtman1,Anthracothorax viridigula
whfplo2,Anarhynchus dealbatus
slblar1,Corypha somalica
squant1,Myrmoderus squamosus
gamfly1,Muscicapa gambagae
negjuf1,Vauriella albigularis
salwar1,Phylloscopus borealoides
cassno1,Tetraogallus caspius
blbtou1,Aulacorhynchus coeruleicinctis
whesib1,Heterophasia auricularis
asdwar1,Curruca nana
bnbcht2,Ochthoeca superciliosa
luzwrb1,Robsonius rabori
regpar1,Polytelis anthopeplus
blaill1,Illadopsis cleaveri
sulcus1,Edolisoma sula
arawax1,Estrilda rufibarba
yecspi2,Certhiaxis cinnamomeus
rubpic1,Picumnus rufiventris
arcnew1,Newtonia archboldi
belkin1,Megaceryle alcyon
brnbar1,Gymnobucco peli
bipkin1,Tanysiptera riedelii
sthsee3,Crithagra canicapilla
insbab1,Pomatorhinus horsfieldii
stvpar1,Amazona guildingii
eahpit1,Pitta novaeguineae
rutthr1,Zoothera heinei
calgul,Larus californicus
nilpip1,Anthus nilghiriensis
conpea1,Afropavo congensis
ashbul1,Hemixos flavala
brclau1,Trochalopteron austeni
sopbab1,Turdoides bicolor
vitsyl1,Aglaiocercus coelestis
rsptyr1,Euscarthmus rufomarginatus
bnwpar1,Suthora ricketti
olioro1,Psarocolius bifasciatus
phikin1,Ceyx melanurus
purfly1,Myiarchus antillarum
woowar,Phylloscopus sibilatrix
sccflo1,Dicaeum retrocinctum
whsrob1,Pogonocichla stellata
brahor1,Lophoceros bradfieldi
olisis1,Spinus olivaceus
dugfin1,Emberizoides duidae
stgsta1,Lamprotornis acuticaudus
dueowl1,Ketupa coromanda
plcsta,Heliomaster constantii
ashgre1,Hylophilus pectoralis
clfsco1,Megascops marshalli
lobpip1,Anthus similis
besra1,Tachyspiza virgata
rtbeat1,Merops bulocki
chfmac1,Ara severus
ausibi1,Threskiornis molucca
afmwea,Ploceus velatus
whieap2,Crossoptilon harmani
fibflo1,Dicaeum ignipectus
hodfro1,Batrachostomus hodgsoni
woosto,Mycteria americana
rewpar1,Aprosmictus erythropterus
bssowl,Megascops clarkii
xanmur1,Synthliboramphus hypoleucus
vddhor1,Tockus deckeni
wrehor1,Rhyticeros undulatus
plmfin1,Leucosticte nemoricola
secfly1,Leptopogon amaurocephalus
amewoo,Scolopax minor
basowl,Megascops seductus
suntea1,Anas gibberifrons
labpuf1,Dryoscopus sabini
arrwar1,Setophaga pharetra
ronbus1,Clytoctantes atrogularis
plwwoo1,Dendrocincla turdina
crosan1,Pterocles coronatus
whbwoo6,Chaetocercus mulsant
uplant1,Thamnophilus aroyae
didcuc1,Chrysococcyx caprius
subpar1,Aratinga maculata
miipig1,Ducula oceanica
abttyr1,Anairetes alpinus
blunut1,Sitta azurea
benbus1,Plocealauda assamica
mouwre1,Troglodytes solstitialis
blchaw1,Busarellus nigricollis
leswar1,Acrocephalus gracilirostris
ivbwoo,Campephilus principalis
witman2,Pipra filicauda
rmfdov1,Ptilinopus mercierii
blbtan2,Cyanicterus cyanicterus
ocrant1,Drymophila ochropyga
yebcot1,Carpodectes antoniae
abycat1,Sylvia galinieri
bknwea1,Ploceus brachypterus
colwar,Leiothlypis crissalis
hacdro1,Dicrurus hottentottus
kbopar1,Cicinnurus regius
yeccoc1,Cacatua sulphurea
westho1,Acanthiza inornata
redcro,Loxia curvirostra
vitpar1,Suthora webbiana
amegfi,Spinus tristis
bratea1,Amazonetta brasiliensis
bltman1,Anthracothorax nigricollis
misthr1,Turdus viscivorus
jamspi,Spindalis nigricephala
tafqua1,Rhynchortyx cinctus
blbwre1,Pheugopedius fasciatoventris
blbwoo3,Dryocopus schulzii
yeebab1,Chrysomma sinense
darros1,Carpodacus edwardsii
guathi1,Cincloramphus turipavae
hobcuc1,Chalcites basalis
anddro1,Dicrurus andamanensis
baugua1,Penelope ortoni
reephe1,Syrmaticus reevesii
giacoo1,Fulica gigantea
rehmyz1,Myzomela erythrocephala
spbant1,Cryptopezus nattereri
todsir1,Sirystes subcanescens
giasni1,Gallinago undulata
minhor2,Penelopides mindorensis
nosfly1,Sublegatus arenarum
comchi1,Phylloscopus collybita
sibgro2,Falcipennis falcipennis
chipar1,Cyanoramphus forbesi
foosco1,Megascops roraimae
blwmon1,Monarcha frater
ruscra1,Laterallus melanophaius
alsred1,Phoenicurus alaschanicus
aldfly,Empidonax alnorum
slcant2,Grallaricula nana
refcro1,Sylvietta whytii
hutvir,Vireo huttoni
nbtwea1,Ploceus castanops
apuspi1,Synallaxis courseni
rutpar1,Arborophila rufogularis
silpri2,Schistolais leontica
isabuh1,Amaurornis isabellina
baymar1,Pseudoleistes virescens
norgan,Morus bassanus
yebbab1,Argya affinis
rucspa2,Accipiter rufiventris
tufcoq1,Lophornis ornatus
yeceup1,Euphonia luteicapilla
dolgul2,Leucophaeus scoresbii
klolew1,Phylloscopus ogilviegranti
rfwwar1,Phylloscopus laetus
yeteup1,Euphonia hirundinacea
magpet1,Pterodroma magentae
pawtru2,Psophia leucoptera
ferant1,Drymophila ferruginea
whfant3,Formicivora grisea
tangrd1,Pampusana ferruginea
pomgrp5,Treron phayrei
railor4,Trichoglossus haematodus
bkhpit1,Erythropitta ussheri
palroc1,Carpospiza brachydactyla
chwcin1,Cinclodes albidiventris
bfgdov1,Metriopelia ceciliae
gabaka1,Sheppardia gabela
coopet,Pterodroma cookii
cangoo,Branta canadensis
subsni1,Coenocorypha aucklandica
masmar1,Phedina borbonica
whfrob1,Eopsaltria leucops
nampri1,Phragmacia substriata
whbmes2,Mesitornis variegatus
dowcra1,Laterallus spilopterus
crobab1,Mystacornis crossleyi
cintea,Spatula cyanoptera
pygbab1,Dasycrotapha plateni
scbmyz1,Myzomela sclateri
whtcar1,Daptrius albogularis
whtoxy1,Oxylabes madagascariensis
socfly1,Myiozetetes similis
fijgos1,Tachyspiza rufitorques
whtrob3,Irania gutturalis
slbxen1,Xenops tenuirostris
purind1,Vidua purpurascens
caogre1,Phyllastrephus poensis
serori1,Oriolus forsteni
sacnig1,Chordeiles rupestris
grbher1,Phaethornis malaris
manhaw2,Pseudastur polionotus
graher1,Ardea cinerea
russpa2,Passer cinnamomeus
litowl1,Athene noctua
goujew1,Heliodoxa aurescens
fislov1,Agapornis fischeri
ou,Psittirostra psittacea
moubar1,Psilopogon monticola
corcra,Crex crex
rubant3,Isleria guttata
nefdov1,Ptilinopus arcanus
ducgra2,Asemospiza obscura
gyhfly1,Mionectes rufiventris
varoys1,Haematopus unicolor
paogre1,Phyllastrephus fulviventris
finwhe1,Oenanthe finschii
brbfly2,Muscicapa muttui
vilind,Vidua chalybeata
peptyr1,Atalotriccus pilaris
pheowl2,Ketupa philippensis
saytan1,Thraupis sayaca
lotmin1,Pericrocotus ethologus
auscra1,Porzana fluminea
rensta1,Aplonis insularis
norgip1,Macronectes halli
comqua1,Coturnix coturnix
burtai1,Prioniturus mada
chewoo3,Dryobates mixtus
slcfly1,Leptopogon superciliaris
sleant1,Rhopornis ardesiacus
moupar2,Psilopsiagon aurifrons
sobkiw1,Apteryx australis
siwgua1,Chamaepetes goudotii
amtsun3,Heliangelus amethysticollis
strsta1,Aplonis striata
szepar1,Tetraophasis szechenyii
rehtan1,Piranga erythrocephala
phseag1,Spilornis holospilus
vicwoo2,Thalurania glaucopis
gorpuf1,Eriocnemis isabellae
incter1,Larosterna inca
laypar1,Psittacula calthrapae
somgre1,Andropadus importunus
blwlov1,Agapornis taranta
stcspa2,Rhynchospiza dabbenei
sposan,Actitis macularius
gyhbab1,Stachyris poliocephala
jerbab1,Chrysomma altirostre
schfra2,Campocolinus schlegelii
cerwar,Setophaga cerulea
yefmyn1,Mino dumontii
lotsyl1,Aglaiocercus kingii
barpar2,Alectoris barbara
gycbul3,Alophoixus bres
grawar,Setophaga graciae
grbtur1,Corythaeola cristata
litsun1,Heliangelus micraster
nobtyr,Camptostoma imberbe
rocmar4,Ptyonoprogne rufigula
auspip2,Anthus australis
tyrmet1,Metallura tyrianthina
cramur,Synthliboramphus craveri
thbwar1,Arundinax aedon
blbsee2,Sporophila melanogaster
madgrp2,Treron griveaudi
norpuf1,Dryoscopus gambensis
aquwar1,Acrocephalus paludicola
belmel1,Melidectes belfordi
reukes1,Falco duboisi
blbmon2,Symposiachrus mundus
